"Group","Sample","nervefr"
"STC7week","219stc",6778.19160642136
"STC7week","224stc",5964.232
"sham","shamc",4034.9675
"sham","shamcon",4623.27573333333
"sham","shamcont",4176.018
"sham","shamn",3013.00458333333
"sham","shamner",1896.03
"STC7week","stc7",7280.20506428571
"STC7week","stc7w",7940.70535714286
"incisioncontrol","stccont",3395.38
"incisioncontrol","stccontr",2837.07577777778
"incisioncontrol","stccontrol",3641.09933333333
